"AtomicLevel.symbol";"AtomicLevel.level";"AtomicLevel.number";"BindingEnergy";"Reference"
"Gd";"3d";64;1198.8 eV;""
"Gd";"4p";64;278.30000000000001 eV;""
"Tb";"3d";65;1255 eV;""
"Tb";"4p";65;297.30000000000001 eV;""
"Dy";"3d";66;1310.8 eV;""
"Dy";"4p";66;310.30000000000001 eV;""
"Ho";"3d";67;1368.4000000000001 eV;""
"Ho";"4p";67;323.69999999999999 eV;""
"Ho";"5p";67;26 eV;""
"Er";"4p";68;336.69999999999999 eV;""
"Er";"5p";68;26.300000000000001 eV;""
"Tm";"4p";69;350 eV;""
"Tm";"5p";69;27.300000000000001 eV;""
"Yb";"4p";70;357 eV;""
"Yb";"5p";70;26 eV;""
"Lu";"4p";71;377.69999999999999 eV;""
"Lu";"4d";71;200 eV;""
"Lu";"4f";71;7.9000000000000004 eV;""
"Lu";"5p";71;29.300000000000001 eV;""
"Hf";"4p";72;399 eV;""
"Hf";"4d";72;215.40000000000001 eV;""
"Hf";"5p";72;32.700000000000003 eV;""
"Ta";"4p";73;421.69999999999999 eV;""
"Ta";"4d";73;230.80000000000001 eV;""
"Ta";"5p";73;36.299999999999997 eV;""
"W";"4p";74;446.30000000000001 eV;""
"W";"4d";74;248.19999999999999 eV;""
"W";"5p";74;40.299999999999997 eV;""
"Re";"4p";75;470 eV;""
"Re";"4d";75;265.60000000000002 eV;""
"Re";"4f";75;41.299999999999997 eV;""
"Os";"4p";76;496.69999999999999 eV;""
"Os";"4d";76;284.60000000000002 eV;""
"Os";"4f";76;51.899999999999999 eV;""
"Ir";"4p";77;522.70000000000005 eV;""
"Ir";"4d";77;303 eV;""
"Ir";"4f";77;62.200000000000003 eV;""
"Pt";"4p";78;549.70000000000005 eV;""
"Pt";"4d";78;321.80000000000001 eV;""
"Pt";"4f";78;72.599999999999994 eV;""
"Au";"4p";79;579 eV;""
"Au";"4d";79;342.19999999999999 eV;""
"Au";"4f";79;85.599999999999994 eV;""
"Au";"5p";79;62.700000000000003 eV;""
"Hg";"4p";80;613.29999999999995 eV;""
"Hg";"4d";80;369 eV;""
"Hg";"4f";80;102.8 eV;""
"Hg";"5p";80;73 eV;""
"Hg";"5d";80;10.800000000000001 eV;""
"Tl";"4p";81;646.70000000000005 eV;""
"Tl";"4d";81;393.39999999999998 eV;""
"Tl";"4f";81;119.59999999999999 eV;""
"Tl";"5p";81;81 eV;""
"Tl";"5d";81;13.800000000000001 eV;""
"Pb";"4p";82;683.29999999999995 eV;""
"Pb";"4d";82;420.80000000000001 eV;""
"Pb";"5p";82;91.700000000000003 eV;""
"Pb";"5d";82;19.199999999999999 eV;""
"Bi";"4p";83;721.29999999999995 eV;""
"Bi";"4d";83;449.60000000000002 eV;""
"Bi";"5p";83;101.7 eV;""
"Bi";"5d";83;25.199999999999999 eV;""
"Th";"4p";90;1033.3 eV;""
"Th";"4d";90;690.79999999999995 eV;""
"Th";"5p";90;196 eV;""
"Th";"5d";90;88.200000000000003 eV;""
"U";"4p";92;1119.3 eV;""
"U";"4d";92;753.20000000000005 eV;""
"U";"5p";92;216.69999999999999 eV;""
"U";"5d";92;97.599999999999994 eV;""
"U";"6p";92;20 eV;""
"Np";"4p";93;1166.3 eV;""
"Np";"4d";93;789 eV;""
"Np";"4f";93;407.10000000000002 eV;""
"Np";"6p";93;21.699999999999999 eV;""
"Pu";"4d";94;821.20000000000005 eV;""
"Pu";"4f";94;432.10000000000002 eV;""
"Pu";"6p";94;22.300000000000001 eV;""
"Am";"4d";95;852.39999999999998 eV;""
"Am";"4f";95;455 eV;""
"Am";"5d";95;113 eV;""
"Am";"6p";95;22.300000000000001 eV;""
"Cm";"4d";96;886.60000000000002 eV;""
"Cm";"4f";96;479 eV;""
"Cm";"6p";96;22.699999999999999 eV;""
"Bk";"4d";97;923.79999999999995 eV;""
"Bk";"4f";97;504.89999999999998 eV;""
"Bk";"6p";97;23.300000000000001 eV;""
"Cf";"4d";98;957.39999999999998 eV;""
"Cf";"4f";98;530.70000000000005 eV;""
"Cf";"6p";98;24.300000000000001 eV;""
