filepath	label	mean position
xps spectra/Experiment 2026-04-22_TMMS Paper For Alyson.xy	first sample	
xps spectra/Experiment 2026-06-23 2 hr TMMS Paper For Alyson.xy	2 hr treated	
xps spectra/Experiment 2026-06-23 3 hr TMMS Paper For Alyson.xy	3 hr treated	
xps spectra/Experiment 2026-8-7 untreated PVOH Paper For Alyson.xy	untreated	
xps spectra/Experiment 2026-8-7 3 hr treated TMMS Paper For Alyson.xy	3 hr treated 2	0.8
xps spectra/Experiment 2026-8-12 3 hr treated TMMS Paper For Alyson 2 to 2.5.xy	3 hr treated 2 - 2.5	2.25
xps spectra/Experiment 2026-8-12 3 hr treated TMMS Paper For Alyson 3 one eigth to 3 nine sixteenths.xy	3 hr treated 3.125 - 3.5625	3.34375
xps spectra/Experiment 2026-8-12 3 hr treated TMMS Paper For Alyson 4 one fourth to 4 seven eigths.xy	3 hr treated 4.25 to 4.875	4.5625
